artist_name,artist_id
China Anne McClain,875
Cimorelli,876
PRETTYMUCH,877
Olivia Holt,878
Jordan Pruitt,879
Olly Murs,880
Mitchel Musso,881
Leona Lewis,882
The Veronicas,883
Jack & Jack,884
Bebe Rexha,885
Corbin Bleu,886
Karmin,887
Nicole Scherzinger,888
Jennette McCurdy,889
Sofia Carson,890
Christina Perri,891
Lindsay Lohan,892
Adam Lambert,893
Nick Jonas & The Administration,894
Conor Maynard,895
Jason Derulo,896
Allstar Weekend,897
Victoria Justice,898
Shane Harper,899
Adam Hicks,900
Rowan Blanchard,901
Laura Marano,902
Bely Basarte,903
Ignasi Vidal,904
Carmen López,905
Fernando García Baró,906
Helen Quiroga,907
María Caneda,908
Marta Martorell,909
María Parrado,910
"Matthew ""Mdot"" Finley",911
Cast Of Camp Rock,912
Renee Sandstrom,913
Aaryn Doyle,914
Anna Margaret,915
Nick Strand,916
Astrid S,917
Anna Clendening,918
Charlotte Lawrence,919
JP Saxe,920
Alec Benjamin,921
Matt and Kim,922
Natasha Bedingfield,923
DJ White Shadow,924
Capital Cities,925
Mr. Probz,926
will.i.am,927
Nicki Minaj,928
Mike Posner,929
Tove Lo,930
CLMD,931
Ruben,932
Seeb,933
The Lounge Lizards,934
The Neighbourhood,935
Lonely The Brave,936
Sleeping With Sirens,937
You Me At Six,938
All Time Low,939
AS IT IS,940
The Friday Night Boys,941
Mayday Parade,942
The Audition,943
Boys Like Girls,944
Transit,945
Man Overboard,946
The Years Gone By,947
Sparks The Rescue,948
fun.,949
blink-182,950
Box Car Racer,951
Bowling For Soup,952
Emblem3,953
Krewella,954
Plain White T's,955
Rihanna,956
Troye Sivan,957
WALK THE MOON,958
Bruno Mars,959
Daniel Powter,960
Backstreet Boys,961
Gotye,962
Hozier,963
Wham!,964
Idina Menzel,965
American Authors,966
Anne-Marie,967
Zac Efron,968
Becky G,969
The Aces,970
The Summer Set,971
Kid Ink,972
Marianas Trench,973
Dove Cameron,974
R5,975
Naomi Scott,976
Pat Benatar,977
Belinda Carlisle,978
Kim Petras,979
Jessie Paege,980
lovelytheband,981
Waterparks,982
Young the Giant,983
Kat Dahlia,984
Troy Murray,985
Lil Baby,986
Mustard,987
L0uie L0u,988
Kodak Black,989
Jae Mazor,990
A Boogie Wit da Hoodie,991
Orion Paxx,992
Only1Tipy,993
Blueface,994
Rippa da Kid,995
21 Savage,996
Fayn,997
Cardi B,998
Meek Mill,999
Paulo Londra,1000
Fall Out Boy,1001
Far East Movement,1002
Flo Rida,1003
Green Day,1004
The Offspring,1005
Taio Cruz,1006
Blue Swede,1007
Rupert Holmes,1008
Blue Öyster Cult,1009
Warrant,1010
Foreigner,1011
Loverboy,1012
Lynyrd Skynyrd,1013
Led Zeppelin,1014
Chamillionaire,1015
Boney M.,1016
Usher,1017
Kansas,1018
Men At Work,1019
Cobra Starship,1020
